type,median,sd
cor_cor-cosine,0.3140625,0.05180403091137928
cor_cor-pearson,0.3134375,0.050735126659527535
cor_norm-cosine,0.29859375,0.007590465259722843
cor_norm-pearson,0.296171875,0.008328128701412942
cor_pre-cosine,0.277734375,0.053382362602035716
cor_pre-pearson,0.310859375,0.03619411782442534
norm_cor-cosine,0.30953125,0.040583791107715844
norm_cor-pearson,0.3125,0.016722006255631642
norm_norm-cosine,0.76171875,0.008774606904343776
norm_norm-pearson,0.7325,0.010075440827660376
norm_pre-cosine,0.615,0.10538505815935423
norm_pre-pearson,0.047109375,0.028469068253496148
other_random,0.25125,0.004904602651031191
pre_cor-cosine,0.06484375,0.0023717415180164194
pre_cor-pearson,0.3128125,0.01666200951445584
pre_norm-cosine,0.357421875,0.005841654812647377
pre_norm-pearson,0.424453125,0.007509857789276138
pre_pre-cosine,0.86234375,0.03771624999952923
pre_pre-pearson,0.8184374999999999,0.03875188151565029
